Provider,OfferId,UniqueOptionId,BestPrice,EnqueuedTimeSP
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""56e0702c-0218-4626-8d3d-ae9d54b4503b""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""00991873-194e-4a6e-89c9-8f68668b6aaa""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""7a471a13-7922-4e7a-9667-9b2f96b44a2a""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""9c4ec643-934f-56d1-198d-46a8adc6c405""",93.5,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",93.5,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",93.5,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.4,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.4,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",94.4,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",94.4,18/08/21
"""ApplyDynamicPricePerOption""","""7cb20a39-c7f9-4c4c-9d51-94dbb8c4ff07""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",93.95,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""6dc306e7-7a6a-459a-a12c-400b4b3c9d37""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""b0e296a9-0590-f0e0-8211-243a2ededb12""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""d6562c24-0b37-5fb4-8275-65b7b8b47b87""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""8d0f9262-f543-d0c8-a869-33985ae3ecda""",92.45,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""151e59ac-761a-96f5-d2b9-882037a9fd28""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""3cd346f4-d297-7568-2e50-d43a8e2fd0a9""",94.6,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""b7a7b6d1-4dae-7392-5aaf-f3369c29db1d""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""577e4bbd-f49d-ac23-56a6-e70072a05229""",93.0,18/08/21
"""ApplyDynamicPricePerOption""","""309e5beb-4e96-4f10-9233-e11057385c07""","""f9b876ab-2590-952f-d69d-5b352ec251f3""",91.35,18/08/21
